,Loan_Status,Applicant_Income,Loan_Amount,Loan_Tenure,Gender,Dependents,Marriage_Status,Occupation,Credit_Score,DOB
0,Yes,674507.0,122980,15,Female,Yes,Yes,Business,Medium,1976
1,Yes,579260.0,111180,10,,No,Yes,Job,High,1974
2,No,697153.0,93364,5,Male,Yes,No,Job,Medium,1990
3,Yes,828454.0,188090,5,Female,Yes,Yes,Job,High,1973
4,No,564876.0,92806,5,Female,Yes,Yes,Business,Low,1973
5,No,564879.0,68431,10,Female,Yes,No,Business,Medium,1970
6,Yes,836881.0,167065,15,Female,Yes,Yes,Job,Medium,1974
7,Yes,715115.0,94690,10,,Yes,No,Job,Medium,1978
8,Yes,529578.0,60707,20,Female,No,Yes,Job,Medium,1982
9,Yes,681384.0,156240,5,Female,Yes,No,Job,Medium,1994
10,Yes,,89665,15,Female,Yes,No,Job,Medium,1990
11,Yes,530140.0,112597,15,,Yes,No,Job,Medium,1977
12,No,636294.0,91364,10,,Yes,No,Job,Medium,1998
13,Yes,,68249,5,Male,No,No,Business,Medium,1988
14,No,341262.0,39856,15,,No,Yes,Job,High,1990
15,No,515656.0,79099,10,,Yes,Yes,Business,Low,1984
16,No,448075.0,110544,20,Female,Yes,Yes,Business,Medium,1985
17,Yes,647137.0,141786,15,Female,Yes,No,Business,Medium,1993
18,Yes,463796.0,80973,20,Male,No,Yes,Business,Low,1987
19,Yes,388154.0,58598,10,Male,No,No,Job,High,1994
20,No,819847.0,189237,15,Female,No,No,Job,Low,1985
21,No,566133.0,102881,15,,No,Yes,Job,Low,1992
22,Yes,610129.0,130423,15,Female,Yes,No,Business,Low,1977
23,No,386287.0,82323,10,Female,No,Yes,Job,Low,1996
24,Yes,,53229,15,Male,No,No,Business,Medium,1999
25,Yes,,73341,10,Male,Yes,No,Job,High,1999
26,Yes,427350.0,85018,15,,Yes,Yes,Job,Medium,1978
27,Yes,656354.0,81547,10,Female,No,No,Job,Medium,1983
28,Yes,509904.0,70531,20,Male,No,Yes,Job,High,1985
29,No,556245.0,134608,5,Female,No,No,Job,Medium,1980
30,No,509744.0,93806,20,Male,No,Yes,Business,Medium,1983
31,No,877841.0,186637,20,Female,Yes,No,Job,Low,1984
32,No,597975.0,109846,20,Female,Yes,Yes,Job,Low,1984
33,No,441343.0,80711,15,Male,No,Yes,Business,Low,1979
34,Yes,,82554,10,,No,No,Job,Medium,1971
35,No,416873.0,63176,25,Male,No,Yes,Job,Low,1994
36,Yes,631329.0,89878,10,Female,No,No,Job,Low,1978
37,Yes,306049.0,48542,15,,No,No,Business,Medium,1975
38,Yes,400772.0,88070,15,Female,Yes,Yes,Business,High,2000
39,No,629529.0,98074,15,Female,Yes,Yes,Job,Low,1991
40,No,3553845.0,1192346,10,Male,Yes,Yes,Business,Low,1995
41,No,625705.0,99867,15,Female,No,Yes,Job,Medium,1998
42,Yes,582652.0,66428,20,,No,Yes,Job,High,1991
43,No,554834.0,92191,5,Female,Yes,No,Job,Medium,1989
44,No,378221.0,48919,20,Male,Yes,Yes,Job,High,1988
45,No,492023.0,62983,5,Female,No,No,Job,Low,1982
46,No,530904.0,60579,10,Female,Yes,Yes,Business,Low,1972
47,Yes,758568.0,116440,5,Male,No,Yes,Business,High,1974
48,No,651542.0,139183,5,Female,No,Yes,Job,Medium,1981
49,Yes,335543.0,47468,20,Female,Yes,No,Job,High,1972
50,No,648612.0,95250,10,Male,Yes,Yes,Job,Medium,1980
51,No,542237.0,106495,10,,Yes,No,Job,Medium,1991
52,No,498461.0,64488,10,Female,No,No,Job,Medium,1977
53,No,691751.0,162245,15,Female,No,No,Business,Medium,1992
54,Yes,754649.0,134349,15,,Yes,Yes,Business,High,1983
55,Yes,739692.0,123632,10,Female,No,No,Business,Medium,1985
56,Yes,474117.0,87082,10,Female,No,Yes,Job,High,1986
57,Yes,553618.0,69149,20,Male,No,No,Job,Medium,1998
58,Yes,649689.0,124753,10,Male,Yes,Yes,Job,High,1985
59,No,746331.0,115282,10,,No,No,Job,Medium,1994
60,No,528123.0,123886,10,,Yes,Yes,Job,Low,1994
61,No,572151.0,71706,15,,Yes,Yes,Job,Low,1981
62,No,434049.0,76417,10,Female,No,Yes,Business,Low,1997
63,No,420569.0,79789,15,,Yes,No,Job,Low,1989
64,No,721878.0,75802,10,Female,No,No,Job,High,1995
65,Yes,803436.0,124174,25,Male,Yes,Yes,Business,High,1994
66,No,589198.0,123669,10,Male,Yes,No,Job,Medium,1996
67,No,750529.0,167410,15,Female,No,No,Job,Low,1992
68,No,654245.0,96157,10,Female,Yes,No,Business,Low,1998
69,Yes,503232.0,110604,10,Male,Yes,No,Job,High,1970
70,Yes,,160388,15,Male,Yes,No,Job,Medium,1985
71,Yes,830705.0,189841,10,Female,No,No,Business,High,1994
72,Yes,594626.0,69955,20,Male,No,No,Job,Medium,1974
73,Yes,834696.0,176087,20,,Yes,Yes,Business,Medium,1992
74,No,207038.0,30631,20,Female,Yes,Yes,Job,High,1995
75,No,723285.0,179564,5,Male,Yes,No,Business,Medium,1994
76,Yes,613057.0,105938,15,Male,No,Yes,Job,Medium,1976
77,No,555148.0,65710,10,Female,No,Yes,Job,Medium,1991
78,No,613764.0,128140,20,Male,Yes,Yes,Business,High,1996
79,No,301864.0,44812,15,Female,No,No,Job,Low,1973
80,Yes,2835245.0,2122704,20,Female,No,No,Job,Medium,1978
81,Yes,653566.0,161409,10,,No,No,Job,Low,1979
82,No,821684.0,163038,15,,No,No,Job,Low,1993
83,Yes,522259.0,62396,5,Female,Yes,No,Job,High,1995
84,No,478725.0,97195,15,Female,No,Yes,Business,High,1979
85,Yes,524736.0,59796,10,Female,No,No,Business,Medium,2000
86,No,737310.0,76978,15,Female,Yes,Yes,Job,High,1974
87,No,649312.0,145084,15,Female,Yes,No,Job,Low,1982
88,No,520535.0,68431,15,Female,No,Yes,Business,Medium,1979
89,Yes,676990.0,106188,10,Female,No,No,Job,Low,1970
90,No,1843683.0,1360740,15,Female,Yes,No,Business,High,1980
91,No,745296.0,112186,10,Female,Yes,No,Job,Medium,1980
92,No,,71469,10,Female,Yes,No,Business,Medium,1997
93,Yes,,130954,5,Female,No,No,Business,High,1995
94,Yes,541183.0,63108,10,Male,No,No,Job,Medium,1978
